snapshot,AT0 0 CCGT,AT0 0 OCGT,AT0 0 coal,AT0 0 onwind,AT0 0 ror,AT0 0 solar
2013-01-01 00:00:00,6.329173275865578e-05,4.759987038016242e-05,2.3561947097924538e-05,2946.6049971189173,2917.913318176911,0.0
2013-01-01 01:00:00,6.329059188814447e-05,4.759908677202813e-05,2.3561839939766465e-05,3092.1840254516446,2916.7870281567557,0.0
2013-01-01 02:00:00,6.3295857478781e-05,4.7601947715754466e-05,2.3561988507204592e-05,3086.6618863385893,2915.882101318899,0.0
2013-01-01 03:00:00,6.317113590644404e-05,4.7529360401508975e-05,2.354324211799642e-05,3062.208831894413,2915.212157388652,0.0
2013-01-01 04:00:00,6.329763178012557e-05,4.760268681742638e-05,2.356200646842229e-05,2883.0280919777324,2914.7534583866177,0.0
2013-01-01 05:00:00,6.329853949921199e-05,4.7603084118779926e-05,2.3562037473906417e-05,2562.526835417508,2914.4517754827516,0.0
2013-01-01 06:00:00,6.32994891978258e-05,4.760368637899921e-05,2.3562112114164607e-05,2337.8150263812176,2914.0895037712066,0.0
2013-01-01 07:00:00,6.329762612997546e-05,4.7604082839133557e-05,2.3562414409243733e-05,2191.6585091841034,2913.8272820528664,0.0
2013-01-01 08:00:00,6.315542799972803e-05,4.752790551890256e-05,2.354458455326978e-05,1806.9302551517485,2913.4927930497784,9056.233556148343
2013-01-01 09:00:00,6.31003698151081e-05,4.749753603953867e-05,2.353713432124587e-05,1257.494084600566,2913.125049470806,5956.168680668254
2013-01-01 10:00:00,6.315580657770003e-05,4.752925965745411e-05,2.354475251439647e-05,826.4597056342967,2912.8265307093484,13481.5963235894
2013-01-01 11:00:00,6.315690650310544e-05,4.752968810497956e-05,2.3544864746763047e-05,636.6673248858004,2915.6802204187206,13477.118634295475
2013-01-01 12:00:00,6.316093738706154e-05,4.7530535196495134e-05,2.354459794046764e-05,469.0357106909427,2924.2318191347326,11900.370426184365
2013-01-01 13:00:00,6.329068226256945e-05,4.760487876387322e-05,2.356326708928462e-05,248.90802361748413,2938.154983523661,8640.794729020248
2013-01-01 14:00:00,6.330012542782971e-05,4.7605697392998496e-05,2.3562415058297857e-05,195.58135129901032,2944.87200214863,4067.2717157650695
2013-01-01 15:00:00,6.330820521896752e-05,4.760642430961845e-05,2.3561626716179133e-05,247.10339511573346,2942.8229304103306,0.0
2013-01-01 16:00:00,6.331115477191604e-05,4.76064760837189e-05,2.356119605131067e-05,315.2821240107714,2941.0154534337285,0.0
2013-01-01 17:00:00,6.331230451020171e-05,4.7606415559523165e-05,2.3560981469457015e-05,457.4504677338389,2939.431800883441,0.0
2013-01-01 18:00:00,6.331244833149483e-05,4.760625567917925e-05,2.3560913182844874e-05,462.9906661593718,2937.7899406598294,0.0
2013-01-01 19:00:00,6.331199329886363e-05,4.7606076162201537e-05,2.3560927439012217e-05,438.0868447708591,2936.2350915828515,0.0
2013-01-01 20:00:00,6.331133909380458e-05,4.7605923570223665e-05,2.356097749238643e-05,453.5163874828076,2934.75344126988,0.0
2013-01-01 21:00:00,6.331045948625422e-05,4.7605761311991194e-05,2.356104382315209e-05,499.9674301620085,2933.358589385597,0.0
2013-01-01 22:00:00,6.330895796579775e-05,4.7605392545417804e-05,2.3561239703416486e-05,286.317896964762,2931.957520829294,0.0
2013-01-01 23:00:00,6.330810613362508e-05,4.7605244484300056e-05,2.356128552304727e-05,275.77888762662127,2930.6657523509393,0.0
2013-01-02 00:00:00,6.330713840574857e-05,4.760501436893225e-05,2.356134395899759e-05,391.3290198239222,2929.700160538173,0.0
2013-01-02 01:00:00,6.33063027341532e-05,4.760477037501326e-05,2.3561401497111098e-05,471.0212526341683,2929.232556756689,0.0
2013-01-02 02:00:00,6.330665424098956e-05,4.760472432267686e-05,2.3561346963597078e-05,543.386706189863,2929.1316755480498,0.0
2013-01-02 03:00:00,6.330662036824142e-05,4.760458720723396e-05,2.356134986469238e-05,652.4040868768612,2929.2083181635594,0.0
2013-01-02 04:00:00,6.330755526310231e-05,4.7604697370702655e-05,2.356127318387692e-05,719.4639397414458,2929.8768899530005,0.0
2013-01-02 05:00:00,6.330795228137848e-05,4.7604794522658264e-05,2.356125322288633e-05,924.2888358011345,2930.7934564320876,0.0
2013-01-02 06:00:00,6.330836223171948e-05,4.760504459742888e-05,2.356124530851694e-05,1036.6086679199352,2931.543876490432,0.0
2013-01-02 07:00:00,6.330804322217612e-05,4.7605409498579843e-05,2.356134245625915e-05,1160.3156785061908,2931.5330225191483,0.0
2013-01-02 08:00:00,6.33026039394231e-05,4.7605004262183856e-05,2.3561918451116905e-05,1235.2797852513957,2931.54600746637,3691.008555596998
2013-01-02 09:00:00,6.329635291348797e-05,4.760442110687933e-05,2.3562518273102426e-05,1343.6835803624965,2931.4890638251254,6751.241288574029
2013-01-02 10:00:00,6.329420520537007e-05,4.760442068660803e-05,2.3562726962638326e-05,1617.9684442982948,2931.353334250127,9073.801862397484
2013-01-02 11:00:00,6.329174767975593e-05,4.760421178316542e-05,2.356294787514201e-05,1569.1353096124549,2932.192013515244,10799.739764019469
2013-01-02 12:00:00,6.329208596585168e-05,4.7604358072667674e-05,2.3562914997342528e-05,1704.6265070585619,2933.8061050565384,9833.864783962841
2013-01-02 13:00:00,6.329652625047925e-05,4.760502070428234e-05,2.356251308844805e-05,1767.4274310249784,2935.0045484744733,6559.3632065885495
2013-01-02 14:00:00,6.330351187364104e-05,4.76061160600489e-05,2.3561851796213604e-05,1913.2410665186087,2935.429736860278,2422.791126314427
2013-01-02 15:00:00,6.331121173519426e-05,4.760888741384811e-05,2.3561496751832692e-05,2433.9834330486083,2934.9115739559247,0.0
2013-01-02 16:00:00,6.331155445588225e-05,4.76089081155805e-05,2.3561463721427645e-05,2858.1062032234504,2934.2967903455456,0.0
2013-01-02 17:00:00,6.330968645396801e-05,4.760851078808506e-05,2.356160563817582e-05,3241.3000923624036,2933.668737077344,0.0
2013-01-02 18:00:00,6.330483633935518e-05,4.760647078599891e-05,2.356169978300061e-05,3428.8185814520425,2932.8708119481967,0.0
2013-01-02 19:00:00,6.330251313542332e-05,4.760581740773845e-05,2.3561850356344113e-05,3596.8110422040268,2931.895441765009,0.0
2013-01-02 20:00:00,6.330125618636023e-05,4.760552762966127e-05,2.3561943562282754e-05,3712.5776801273278,2930.914081280865,0.0
2013-01-02 21:00:00,6.330047875854973e-05,4.7605222861691384e-05,2.356199442176804e-05,3675.0054097961693,2929.9509549653435,0.0
2013-01-02 22:00:00,6.330040887422803e-05,4.760477356232878e-05,2.3562029508329532e-05,2942.95964267238,2929.0813482115923,0.0
2013-01-02 23:00:00,6.329916825379773e-05,4.7604323022448715e-05,2.356210788036278e-05,2771.159423824415,2928.2883153756043,0.0
2013-01-03 00:00:00,6.329746886883188e-05,4.7603800178248604e-05,2.356222942667871e-05,2454.826850850274,2927.398589403049,0.0
2013-01-03 01:00:00,6.329690353429331e-05,4.760348107107614e-05,2.3562232334600352e-05,2185.3964527666685,2926.4410591858646,0.0
2013-01-03 02:00:00,6.329603237294864e-05,4.76031564241599e-05,2.3562256914954496e-05,2028.3219555524436,2925.4938882026154,0.0
2013-01-03 03:00:00,6.329470428408542e-05,4.760278307032029e-05,2.356231094082415e-05,2101.6077459557887,2924.5781439284046,0.0
2013-01-03 04:00:00,6.329342032075083e-05,4.760252674540425e-05,2.3562389131325035e-05,2428.3169166271127,2923.644909999075,0.0
2013-01-03 05:00:00,6.329272127313984e-05,4.760254771833989e-05,2.3562482738661608e-05,2968.4409320380155,2922.7710085445615,0.0
2013-01-03 06:00:00,6.329230058541633e-05,4.760276200711544e-05,2.3562603765086272e-05,3589.773017936127,2921.898848636805,0.0
2013-01-03 07:00:00,6.328985208810604e-05,4.760287395548185e-05,2.3562918767407297e-05,4440.36453771382,2921.0434389721468,0.0
2013-01-03 08:00:00,6.315415813068425e-05,4.752750323688903e-05,2.354457849510736e-05,5139.926704413429,2920.1973081071046,7696.960444564062
2013-01-03 09:00:00,6.309368723649086e-05,4.749614255560945e-05,2.3537525107170096e-05,5947.549929234869,2919.362784071181,3813.8676286249133
2013-01-03 10:00:00,6.315236293319877e-05,4.7528271319694545e-05,2.3545051453522018e-05,4534.944526898198,2918.6124313750956,7659.760050927468
2013-01-03 11:00:00,6.315109205488251e-05,4.7527746911139045e-05,2.3544956570816403e-05,5704.539436125101,2918.10540292214,6591.883486658474
2013-01-03 12:00:00,6.315332062815675e-05,4.7527588767720546e-05,2.3544620176933534e-05,7485.071765071562,2917.8794835858453,5158.80257986456
2013-01-03 13:00:00,6.317486699450856e-05,4.7529526655513984e-05,2.3543667849161832e-05,9487.608954906853,2917.9982623056785,3659.7391648618745
2013-01-03 14:00:00,6.331254903156592e-05,4.760493795766547e-05,2.356196187183833e-05,10237.105791272963,2917.8768606673825,1473.2163954727203
2013-01-03 15:00:00,6.331861372789994e-05,4.760531245204239e-05,2.3561416049605744e-05,10494.030101136566,2917.681388514448,0.0
2013-01-03 16:00:00,6.332050704818692e-05,4.760527681172102e-05,2.356115419946016e-05,10915.229343981979,2917.5027348471244,0.0
2013-01-03 17:00:00,6.332094491413031e-05,4.7605243507704854e-05,2.3561061139129146e-05,11042.545566182554,2917.4574946551334,0.0
2013-01-03 18:00:00,6.332136877561879e-05,4.760532554078346e-05,2.356100063959707e-05,11261.013347621134,2917.7333900405633,0.0
2013-01-03 19:00:00,6.332132434242183e-05,4.7605360048905054e-05,2.3560984981403625e-05,11415.795948120505,2919.8573134004714,0.0
2013-01-03 20:00:00,6.332139711653848e-05,4.7605462207068486e-05,2.3560972320978267e-05,11558.920675619149,2924.8682422540487,0.0
2013-01-03 21:00:00,6.332109395699937e-05,4.760549534166753e-05,2.3560992916857863e-05,11756.400678150172,2933.5181958525022,0.0
2013-01-03 22:00:00,6.332131329351105e-05,4.760566542693603e-05,2.356096464899606e-05,11390.332693974131,2943.1637039355373,0.0
2013-01-03 23:00:00,6.33192958309701e-05,4.7605331432451703e-05,2.356111316708848e-05,11461.236374268712,2951.496371210601,0.0
2013-01-04 00:00:00,6.331740815585645e-05,4.760506378332531e-05,2.3561248600584163e-05,11915.406099138647,2963.965885925791,0.0
2013-01-04 01:00:00,6.331642011527513e-05,4.760495482560644e-05,2.3561316395002253e-05,12207.3942615695,2975.7334796444734,0.0
2013-01-04 02:00:00,6.331677102152081e-05,4.76050945780967e-05,2.356130760194411e-05,12270.790697298748,2987.583751396804,0.0
2013-01-04 03:00:00,6.331722363862815e-05,4.7605247086231205e-05,2.3561296817589696e-05,12370.045011153541,2997.415006828207,0.0
2013-01-04 04:00:00,6.331841776471391e-05,4.760550334342136e-05,2.356125132034336e-05,12395.65261805272,3006.6691391786135,0.0
2013-01-04 05:00:00,6.332021294821295e-05,4.760587475259696e-05,2.356115190490268e-05,12177.275059619267,3015.7997573854905,0.0
2013-01-04 06:00:00,6.332190071998243e-05,4.760629260083338e-05,2.3561082727022878e-05,12261.02765064674,3022.8259485660374,0.0
2013-01-04 07:00:00,6.332127459205826e-05,4.760652592169252e-05,2.356121372573096e-05,12571.928267689225,3030.0667153003465,0.0
2013-01-04 08:00:00,6.331214485234505e-05,4.760562729542836e-05,2.3561803292332e-05,12457.80386275643,3035.797017404571,3510.04109908387
2013-01-04 09:00:00,6.330731683844428e-05,4.7605260817299265e-05,2.3562113923848883e-05,12470.869349729946,3044.765760668736,4310.722949689843
2013-01-04 10:00:00,6.330889071514605e-05,4.7605833693487064e-05,2.3562035261532083e-05,10549.576390139768,3056.849570386711,5106.453660227113
2013-01-04 11:00:00,6.329369468201617e-05,4.7599421771056804e-05,2.3561893073405583e-05,11818.136827606104,3071.3466991184796,5932.766866457376
2013-01-04 12:00:00,6.317314829127624e-05,4.7530613544011516e-05,2.354374321718277e-05,12519.214822612706,3087.786980447826,5938.389846841806
2013-01-04 13:00:00,6.317229738613755e-05,4.753020611124301e-05,2.3543731838437712e-05,12794.47411886467,3103.006416055328,4607.167678332006
2013-01-04 14:00:00,6.330533330655192e-05,4.76043714073168e-05,2.3562345182423696e-05,12896.959113821207,3114.1877564767483,1903.3752415701367
2013-01-04 15:00:00,6.33113133685894e-05,4.760471669408439e-05,2.356195581549829e-05,12432.683483313791,3122.9422460325914,0.0
2013-01-04 16:00:00,6.331262666018625e-05,4.7604447702846374e-05,2.3561759118070612e-05,11838.348613145654,3132.915173870459,0.0
2013-01-04 17:00:00,6.331222246515779e-05,4.7604190435867474e-05,2.356171916165612e-05,11818.136822527982,3145.846869953138,0.0
2013-01-04 18:00:00,6.33122466317623e-05,4.760408903183405e-05,2.3561672248296075e-05,12304.44689459819,3162.6651586661683,0.0
2013-01-04 19:00:00,6.331198520841756e-05,4.7604050818901354e-05,2.3561656256068707e-05,12798.895818885858,3199.1152182182946,0.0
2013-01-04 20:00:00,6.331165930209585e-05,4.7604075089332024e-05,2.3561671059139036e-05,13276.309089473365,3235.1098177237495,0.0
2013-01-04 21:00:00,6.331103030234016e-05,4.760412351290789e-05,2.356171955020823e-05,13843.628713549555,3283.8879285112907,0.0
2013-01-04 22:00:00,6.331345100075547e-05,4.760473457351882e-05,2.356162258383658e-05,13182.522755751907,3344.1069366677257,0.0
2013-01-04 23:00:00,6.331081094851025e-05,4.7604343606833836e-05,2.3561749664787696e-05,13542.635466379968,3413.3770776659167,0.0
2013-01-05 00:00:00,6.331045531329508e-05,4.760431297260253e-05,2.3561766281777205e-05,13812.15603823942,3480.547657918373,0.0
2013-01-05 01:00:00,6.331147833744084e-05,4.760451991656712e-05,2.3561730559632392e-05,13832.006887445179,3549.3944534052844,0.0
2013-01-05 02:00:00,6.331346849310638e-05,4.7604948999998024e-05,2.3561648115529347e-05,13811.903359931024,3618.005769195096,0.0
2013-01-05 03:00:00,6.331529540976844e-05,4.760538757315441e-05,2.356155719963496e-05,13587.967552025555,3680.866832316677,0.0
2013-01-05 04:00:00,6.331760539499015e-05,4.760592887632498e-05,2.356142874956165e-05,13437.137054257379,3737.6959678289504,0.0
