,0
2013-01-01,122551.72202388402
2013-01-02,118012.96484302315
2013-01-03,56375.58470818888
2013-01-04,-87580.06558700165
2013-01-05,-202242.10033652902
2013-01-06,-48882.186377935424
2013-01-07,-114902.94560160008
2013-01-08,-61806.36828412367
2013-01-09,-7460.813105824793
2013-01-10,74219.16206065235
2013-01-11,-63341.04022407813
2013-01-12,-10113.34176555816
2013-01-13,-54857.94929927765
2013-01-14,-36581.34734353251
2013-01-15,-60759.53279258717
2013-01-16,-26694.65770651248
2013-01-17,-37506.14792586658
2013-01-18,38239.64109517513
2013-01-19,240725.13235695692
2013-01-20,223228.13835929992
2013-01-21,289895.7238216604
2013-01-22,91841.86407609722
2013-01-23,-61723.46514609808
2013-01-24,-75417.68457488589
2013-01-25,-113338.94548989028
2013-01-26,170200.4373387456
2013-01-27,179176.14264315864
2013-01-28,200777.88998191943
2013-01-29,152696.54073444745
2013-01-30,173975.72117923736
2013-01-31,138473.39898380946
2013-02-01,-43018.36324375805
2013-02-02,27538.717963016737
2013-02-03,-51887.3197091888
2013-02-04,101179.1084958963
2013-02-05,180330.93513253797
2013-02-06,61781.027424292086
2013-02-07,-67090.00111429134
2013-02-08,-72080.43921917537
2013-02-09,-110122.4491057526
2013-02-10,84332.0108244438
2013-02-11,170340.95740395322
2013-02-12,-19059.915844072573
2013-02-13,-134388.07599374917
2013-02-14,48356.93535441525
2013-02-15,-56477.78757425619
2013-02-16,-98010.02596892405
2013-02-17,-94601.6323458427
2013-02-18,-54234.74859951684
2013-02-19,61882.49266067683
2013-02-20,58736.875358617566
2013-02-21,-468.9149946865582
2013-02-22,67956.50823711183
2013-02-23,210380.92363473013
2013-02-24,189445.6806456834
2013-02-25,133451.89162784762
2013-02-26,-39173.08393713393
2013-02-27,-107041.40584938992
2013-02-28,8608.48900565226
2013-03-01,48891.930962340004
2013-03-02,51489.14792390231
2013-03-03,-40316.14209682577
2013-03-04,5505.821625983654
2013-03-05,-116105.57876611767
2013-03-06,-153429.62330757492
2013-03-07,153899.77523971561
2013-03-08,159925.53066459406
2013-03-09,194170.19157960062
2013-03-10,173732.83127781158
2013-03-11,60774.85772352734
2013-03-12,-69562.77381730758
2013-03-13,-143480.346984466
2013-03-14,-274856.9705789911
2013-03-15,-237405.92597356462
2013-03-16,245688.82076885644
2013-03-17,125833.80987239417
2013-03-18,191949.388080759
2013-03-19,94928.08517592541
2013-03-20,55142.7016056072
2013-03-21,-34172.35371182879
2013-03-22,178299.87169722607
2013-03-23,222380.03174268059
2013-03-24,185466.58365003322
2013-03-25,246352.24599705846
2013-03-26,275590.008945941
2013-03-27,181770.02790024198
2013-03-28,-97395.10199328391
2013-03-29,25836.422615823343
2013-03-30,-1013.8803110199633
2013-03-31,20557.68950855005
2013-04-01,56229.766833048954
2013-04-02,139500.5848484888
2013-04-03,136049.73860476038
2013-04-04,165140.43327925162
2013-04-05,11613.211219006665
2013-04-06,-23404.86426379863
2013-04-07,22139.819398050164
2013-04-08,5889.5640521048535
2013-04-09,267390.20646463975
2013-04-10,118584.35366623293
2013-04-11,27787.474499907737
2013-04-12,88126.50487849777
2013-04-13,30771.03443846599
2013-04-14,186235.49265422192
2013-04-15,58915.95834530533
2013-04-16,-28050.124474826604
2013-04-17,16656.795496679457
2013-04-18,192924.22454368416
2013-04-19,52283.39133536569
2013-04-20,-48402.19847956629
2013-04-21,-114671.30363768969
2013-04-22,-250847.52614457541
2013-04-23,49491.65247208507
2013-04-24,-26657.10666860662
2013-04-25,-75841.23265794654
2013-04-26,-231824.7395160042
2013-04-27,-217339.2515363647
2013-04-28,-102636.90409132937
2013-04-29,101628.71808133715
2013-04-30,-112832.21528437975
2013-05-01,-178090.78687651662
2013-05-02,-248367.62409056316
2013-05-03,-299930.5409689462
2013-05-04,-136749.73267851875
2013-05-05,-195608.99060802982
2013-05-06,-352926.10002479586
2013-05-07,-276274.09573500283
2013-05-08,-221771.6675393712
2013-05-09,-233896.69364291197
2013-05-10,-161677.33096089898
