snapshot,AT0 0 CCGT,AT0 0 OCGT,AT0 0 coal,AT0 0 onwind,AT0 0 ror,AT0 0 solar
2013-01-01 00:00:00,7.398688631939798e-05,5.764275194307559e-05,2.626068704183311e-05,2792.990135677134,2844.709011636531,0.0
2013-01-01 01:00:00,7.398769254379107e-05,5.7643392516898565e-05,2.626140328979813e-05,2930.979780730601,2843.610452501512,0.0
2013-01-01 02:00:00,7.39957197196644e-05,5.764831941911333e-05,2.6261230854491635e-05,2925.74554281481,2842.7305890759208,0.0
2013-01-01 03:00:00,7.388348623047394e-05,5.7580187645726215e-05,2.6243811432819746e-05,2902.56720022354,2842.0042564735377,0.0
2013-01-01 04:00:00,7.399664603776244e-05,5.764894603076905e-05,2.6261250328950617e-05,2732.727663752842,2841.6299016776243,0.0
2013-01-01 05:00:00,7.399687284935693e-05,5.7649168023612286e-05,2.626127874690879e-05,2428.9348893545384,2841.3351581720754,0.0
2013-01-01 06:00:00,7.399655688334016e-05,5.7649010283637145e-05,2.6261253171022085e-05,2215.937825279416,2840.981694565601,0.0
2013-01-01 07:00:00,7.399661995105666e-05,5.764898585550688e-05,2.6261256192798202e-05,2077.4007877635627,2840.726108798265,0.0
2013-01-01 08:00:00,7.387827524092285e-05,5.757643866262881e-05,2.6243489774517112e-05,1712.7291961490732,2840.3337225756495,11327.02657372476
2013-01-01 09:00:00,7.387049921723837e-05,5.757232180078031e-05,2.6243434377616205e-05,1191.9364590128298,2839.9897944014415,7883.086351165519
2013-01-01 10:00:00,7.388114399899772e-05,5.757889185647388e-05,2.624389014290712e-05,783.3725119021817,2839.6845696265113,16862.297284017255
2013-01-01 11:00:00,7.388018067473298e-05,5.7578106473589904e-05,2.624376402778639e-05,603.474274157191,2842.4656145497247,16857.130247986865
2013-01-01 12:00:00,7.388318275837713e-05,5.75803571913225e-05,2.6243939942976374e-05,444.58147874637064,2850.798586733725,14884.94596490269
2013-01-01 13:00:00,7.399479217607937e-05,5.764772051900634e-05,2.6261045319860262e-05,235.929295372977,2864.4437902600685,10808.836420504516
2013-01-01 14:00:00,7.399489471251038e-05,5.764833702567241e-05,2.6261148207227884e-05,185.38248335508683,2870.9923420342716,5087.77210249526
2013-01-01 15:00:00,7.399311577867841e-05,5.764745619561269e-05,2.6261002252412024e-05,234.21873370237998,2868.9947720641094,0.0
2013-01-01 16:00:00,7.399177885976113e-05,5.764659666466632e-05,2.62608548583053e-05,298.843322862272,2867.232540778939,0.0
2013-01-01 17:00:00,7.399120200564903e-05,5.7646194204627264e-05,2.6260790123384224e-05,433.60035688690283,2865.6885235207706,0.0
2013-01-01 18:00:00,7.399095277480289e-05,5.7646017597193556e-05,2.626076872851911e-05,438.85174039453017,2864.0879349841084,0.0
2013-01-01 19:00:00,7.399094283876491e-05,5.7645985456839904e-05,2.6260769919210467e-05,415.24617752138363,2862.5721760608576,0.0
2013-01-01 20:00:00,7.399096046603432e-05,5.7645956358721445e-05,2.6260768989631063e-05,429.8713659031114,2861.127710968282,0.0
2013-01-01 21:00:00,7.39909639806691e-05,5.76459122610857e-05,2.626076388303419e-05,473.9008715566688,2859.7678362531833,0.0
2013-01-01 22:00:00,7.399209830961497e-05,5.764661744373704e-05,2.6260879228767367e-05,271.38900155851513,2858.4018510059373,0.0
2013-01-01 23:00:00,7.39924906421576e-05,5.7646898536293056e-05,2.6260923754621013e-05,261.3993882326984,2857.1424533656837,0.0
2013-01-02 00:00:00,7.399285679314336e-05,5.7647111558463495e-05,2.626095833923177e-05,370.9258739976431,2856.201054390533,0.0
2013-01-02 01:00:00,7.399348699254723e-05,5.764752385025354e-05,2.6261031342287396e-05,446.4636910003943,2855.7451597594686,0.0
2013-01-02 02:00:00,7.399327238001452e-05,5.7647378863188996e-05,2.626100406527507e-05,515.0566564699259,2855.646809839914,0.0
2013-01-02 03:00:00,7.399336577466843e-05,5.764742117882014e-05,2.626101038281031e-05,618.3908178944644,2855.7215274756913,0.0
2013-01-02 04:00:00,7.39928332409557e-05,5.764708603478975e-05,2.6260952312870352e-05,681.9547383126884,2856.373369883342,0.0
2013-01-02 05:00:00,7.399225604802993e-05,5.764670188187658e-05,2.6260886809155843e-05,876.101762662385,2857.2670004846645,0.0
2013-01-02 06:00:00,7.399159463072753e-05,5.7646267925148433e-05,2.6260812466624454e-05,982.5661495693018,2857.99866367391,0.0
2013-01-02 07:00:00,7.399102409080586e-05,5.764585938628258e-05,2.6260745985324504e-05,1099.8240696705864,2857.988122298428,0.0
2013-01-02 08:00:00,7.39924488440027e-05,5.764659178057144e-05,2.6260865430829602e-05,1170.880155448374,2858.000700664783,4617.100620297614
2013-01-02 09:00:00,7.399301143932108e-05,5.7646550315730096e-05,2.626085487391607e-05,1273.632647387645,2857.9450675072057,8445.175864356746
2013-01-02 10:00:00,7.399189242887513e-05,5.7645571865354314e-05,2.6260694325755656e-05,1533.6184577025072,2857.8127490573493,11350.488828847843
2013-01-02 11:00:00,7.399187912328486e-05,5.764537704333329e-05,2.6260659380319994e-05,1487.3311023970025,2858.630388397718,13509.480566299315
2013-01-02 12:00:00,7.399184283088868e-05,5.76453951434254e-05,2.6260661751490735e-05,1615.75884623949,2860.2040503871217,12301.258625495278
2013-01-02 13:00:00,7.399130381974202e-05,5.764535303232861e-05,2.626065207028336e-05,1675.285809464173,2861.372574391107,8205.153626878673
2013-01-02 14:00:00,7.399001152911793e-05,5.764494961305714e-05,2.6260577901381133e-05,1813.4978358810986,2861.787152707095,3030.6736498622704
2013-01-02 15:00:00,7.399391935541937e-05,5.76471731570787e-05,2.626042236563746e-05,2307.09269597573,2861.2817247833764,0.0
2013-01-02 16:00:00,7.399325365282733e-05,5.764654314030228e-05,2.6260288655180666e-05,2709.104943245607,2860.682256644014,0.0
2013-01-02 17:00:00,7.399273942831604e-05,5.764603731756799e-05,2.6260234421506952e-05,3072.322023859676,2860.070068465632,0.0
2013-01-02 18:00:00,7.398772671629868e-05,5.764283175785315e-05,2.6260117968343345e-05,3250.0647191137095,2859.2915901737874,0.0
2013-01-02 19:00:00,7.398658951413126e-05,5.764203567402255e-05,2.6260092147848802e-05,3409.2993350741167,2858.3411316976185,0.0
2013-01-02 20:00:00,7.398680359380437e-05,5.764212749545074e-05,2.626011492770701e-05,3519.030785348489,2857.384661780835,0.0
2013-01-02 21:00:00,7.398758648120664e-05,5.7642646568803334e-05,2.6260201723793935e-05,3483.4172535119496,2856.445714175221,0.0
2013-01-02 22:00:00,7.399025348309256e-05,5.76445415063516e-05,2.6260517858318147e-05,2789.5347986894317,2855.5978059374575,0.0
2013-01-02 23:00:00,7.399126200403377e-05,5.764519137624258e-05,2.6260623880084796e-05,2626.690939393222,2854.824580967762,0.0
2013-01-03 00:00:00,7.399258562313144e-05,5.764605165079922e-05,2.6260764415026167e-05,2326.849535207179,2853.9571079741713,0.0
2013-01-03 01:00:00,7.399363862766443e-05,5.76467580235094e-05,2.6260885270207976e-05,2071.465173402,2853.02357285828,0.0
2013-01-03 02:00:00,7.39945352768706e-05,5.764733633592275e-05,2.62609788359055e-05,1922.5793330018766,2852.1001690731055,0.0
2013-01-03 03:00:00,7.399518220990184e-05,5.7647703778311906e-05,2.6261038741378962e-05,1992.044571455953,2851.2074793932834,0.0
2013-01-03 04:00:00,7.399533550526079e-05,5.7647699376125886e-05,2.6261037901880624e-05,2301.7216371583872,2850.297709750639,0.0
2013-01-03 05:00:00,7.399501744308654e-05,5.764737623805478e-05,2.6260985584608957e-05,2813.687703575141,2849.445555229213,0.0
2013-01-03 06:00:00,7.399392901114157e-05,5.76464264302493e-05,2.6260837732321524e-05,3402.6282448596485,2848.5951669510573,0.0
2013-01-03 07:00:00,7.399345548953209e-05,5.764589682269836e-05,2.62607568505129e-05,4208.876357130219,2847.7612094572028,0.0
2013-01-03 08:00:00,7.387847739637516e-05,5.757620885346461e-05,2.6243463976187595e-05,4871.9685505250145,2846.867735682413,9626.855581466843
2013-01-03 09:00:00,7.386671054408632e-05,5.756888791570566e-05,2.6242901618746663e-05,5637.488572129202,2846.0676270363324,3907.3175589938755
2013-01-03 10:00:00,7.387756906272145e-05,5.757567747077803e-05,2.624338278539564e-05,4298.52555915277,2845.322578065374,9580.319875184021
2013-01-03 11:00:00,7.387751445350703e-05,5.757554244826122e-05,2.6243371614931494e-05,5407.146640902576,2844.8299846308273,8244.3993895807
2013-01-03 12:00:00,7.387764947348274e-05,5.7575690953771246e-05,2.6243385766025483e-05,7094.855496434228,2844.608690573469,6451.802229658799
2013-01-03 13:00:00,7.388863236276044e-05,5.758494073163282e-05,2.6244889285871482e-05,8992.995551876475,2844.7219710992645,4576.587745615746
2013-01-03 14:00:00,7.400657312887378e-05,5.765703869894697e-05,2.6262601407288895e-05,9703.419340019416,2844.6742869674467,1842.8403172647304
2013-01-03 15:00:00,7.400480167403985e-05,5.765590144900931e-05,2.6262416480068145e-05,9946.949534380068,2844.483490343754,0.0
2013-01-03 16:00:00,7.400403768785523e-05,5.765538185565215e-05,2.62623369418914e-05,10346.190625201792,2844.309347129386,0.0
2013-01-03 17:00:00,7.400372618864466e-05,5.7655141869294174e-05,2.626230300988263e-05,10466.869539711852,2844.265259317119,0.0
2013-01-03 18:00:00,7.400339592084596e-05,5.765490507288625e-05,2.6262267522077536e-05,10673.948060413899,2844.5342486689615,0.0
2013-01-03 19:00:00,7.40032736240399e-05,5.7654804474602264e-05,2.6262253269978388e-05,10820.661467714572,2846.6049133300785,0.0
2013-01-03 20:00:00,7.400316489147976e-05,5.765472412903917e-05,2.626224123202798e-05,10956.32475580717,2851.4901847271167,0.0
2013-01-03 21:00:00,7.400311915520066e-05,5.765465384220827e-05,2.6262224895404044e-05,11143.509651467619,2859.923212014134,0.0
2013-01-03 22:00:00,7.400282528445217e-05,5.7654512685736225e-05,2.6262203205679e-05,10796.525678807044,2869.326841527025,0.0
2013-01-03 23:00:00,7.400353004743168e-05,5.765489385928407e-05,2.6262265062221504e-05,10863.732992724143,2877.4505165148357,0.0
2013-01-04 00:00:00,7.400391331457451e-05,5.7655052875247335e-05,2.626229062389909e-05,11294.225764204057,2889.6073037565443,0.0
2013-01-04 01:00:00,7.40040195538332e-05,5.765505808371995e-05,2.6262290796418517e-05,11570.991885894975,2901.079783880298,0.0
2013-01-04 02:00:00,7.40038180626175e-05,5.765492383377768e-05,2.6262268333308173e-05,11631.083314277175,2912.63287926611,0.0
2013-01-04 03:00:00,7.400368140035182e-05,5.765484354636028e-05,2.6262253855470865e-05,11725.163263993933,2922.2175952860935,0.0
2013-01-04 04:00:00,7.40032985862057e-05,5.7654641367175285e-05,2.6262219567349515e-05,11749.435881244905,2931.2396664073,0.0
2013-01-04 05:00:00,7.400253954620712e-05,5.765422648487324e-05,2.6262150842680882e-05,11542.442858440781,2940.1413405216945,0.0
2013-01-04 06:00:00,7.400194101368123e-05,5.765388967827176e-05,2.6262095445993923e-05,11621.829211942291,2946.9913526936743,0.0
2013-01-04 07:00:00,7.40017442480799e-05,5.7653726629782086e-05,2.6262071643927617e-05,11916.521833821545,2954.0505356340664,0.0
2013-01-04 08:00:00,7.400313852066255e-05,5.76544614125477e-05,2.6262185169046604e-05,11808.347054284463,2959.637070866803,4390.726265476985
2013-01-04 09:00:00,7.400400612891548e-05,5.7654953108847265e-05,2.626227018773091e-05,11820.731432873605,2968.3812191032584,5392.3078933888155
2013-01-04 10:00:00,7.400317708323476e-05,5.7654585186686815e-05,2.626220435672028e-05,9999.600112737557,2980.1617097092426,6387.694635191673
2013-01-04 11:00:00,7.40010720538509e-05,5.7653068771128276e-05,2.626240038765808e-05,11202.02746373492,2994.296275354301,7421.339619829983
2013-01-04 12:00:00,7.388963862056197e-05,5.75852825472313e-05,2.624479277376666e-05,11866.556526491202,3010.2510469960157,7427.0465783798945
2013-01-04 13:00:00,7.389027818063577e-05,5.758565038807701e-05,2.6244832720539108e-05,12127.465898006625,3025.088371824251,5761.791094821318
2013-01-04 14:00:00,7.400576918872634e-05,5.765612793737322e-05,2.6262467465084837e-05,12224.608132968302,3036.0621828404505,2380.931131727682
2013-01-04 15:00:00,7.40050177958269e-05,5.7655723743253224e-05,2.626239348118605e-05,11784.536280902214,3044.5968952588537,0.0
2013-01-04 16:00:00,7.400487169448503e-05,5.7655647202998716e-05,2.6262376271660816e-05,11221.185512950435,3054.3197438596844,0.0
2013-01-04 17:00:00,7.400521383424535e-05,5.7655881741694425e-05,2.626241395626339e-05,11202.02741489493,3066.927155641122,0.0
2013-01-04 18:00:00,7.400520387646929e-05,5.7655841277825455e-05,2.626240785992668e-05,11662.98497197279,3083.323687243281,0.0
2013-01-04 19:00:00,7.4005043779263e-05,5.765567338684445e-05,2.6262381518332772e-05,12131.65708569875,3118.8596763961573,0.0
2013-01-04 20:00:00,7.400497709126558e-05,5.765557466636312e-05,2.6262365227370432e-05,12584.181658986554,3153.9516326633216,0.0
2013-01-04 21:00:00,7.400486367300579e-05,5.7655433262890465e-05,2.6262340455074835e-05,13121.925564940728,3201.506524642653,0.0
2013-01-04 22:00:00,7.400406941989849e-05,5.765495767707245e-05,2.6262256696699538e-05,12495.284621501904,3260.215432341666,0.0
2013-01-04 23:00:00,7.40048062136838e-05,5.765534774648254e-05,2.6262323679944572e-05,12836.623814154722,3327.7484439817176,0.0
2013-01-05 00:00:00,7.400491443940558e-05,5.765537998240097e-05,2.6262328515355036e-05,13092.093646747759,3393.2345784504687,0.0
2013-01-05 01:00:00,7.400477043830108e-05,5.7655309311699507e-05,2.626231566437055e-05,13110.909617892732,3460.3549090049073,0.0
2013-01-05 02:00:00,7.400420223723173e-05,5.765498437253767e-05,2.626225441613813e-05,13091.854115693728,3527.2456970128583,0.0
2013-01-05 03:00:00,7.400367510841878e-05,5.7654722161322374e-05,2.6262207475822825e-05,12879.592596047933,3588.530476660077,0.0
2013-01-05 04:00:00,7.400293441812426e-05,5.765434640947884e-05,2.626214149438755e-05,12736.625225986592,3643.9346375863397,0.0
2013-01-05 05:00:00,7.400204996589114e-05,5.7653901839530116e-05,2.626206305890825e-05,12562.970679273345,3683.93358719166,0.0
2013-01-05 06:00:00,7.400076184301773e-05,5.765322238307669e-05,2.6261939298498612e-05,12423.749381100173,3709.345407450763,0.0
2013-01-05 07:00:00,7.399979402654095e-05,5.765267624256559e-05,2.626184484519743e-05,12000.543489599315,3739.5860138139424,0.0
2013-01-05 08:00:00,7.399964467577258e-05,5.765234491873536e-05,2.6261795235251708e-05,12165.097907542548,3763.0404833881394,5208.302569859975
2013-01-05 09:00:00,7.399901667329199e-05,5.765166776247115e-05,2.6261680144394355e-05,12402.008335753708,3780.5007133979543,7178.3575859248185
2013-01-05 10:00:00,7.39979738726017e-05,5.76512251946621e-05,2.6261599314548104e-05,10537.99365524979,3793.842312490797,7403.086827138351
2013-01-05 11:00:00,7.399885523241938e-05,5.765144018300492e-05,2.6261630195677735e-05,12175.94273636924,3806.916583418984,7777.946606881671
2013-01-05 12:00:00,7.399968905742357e-05,5.7651862464554704e-05,2.626169355854004e-05,12975.126280415063,3816.4371332289993,7405.992104947052
2013-01-05 13:00:00,7.399937717447703e-05,5.765176140995658e-05,2.626167165738865e-05,13263.42144120604,3823.49245657536,5810.248511611851
2013-01-05 14:00:00,7.4000111406067e-05,5.765256264351793e-05,2.6261691210665847e-05,13038.536020534191,3826.2553540262516,2772.9991285938954
2013-01-05 15:00:00,7.457625170943753e-05,5.800196797567124e-05,2.634372207726354e-05,11687.17287254537,3830.1118481499752,0.0
2013-01-05 16:00:00,7.457641801232538e-05,5.8002289593799236e-05,2.634374209420225e-05,10940.725380718519,3830.742070978099,0.0
2013-01-05 17:00:00,7.457667941499307e-05,5.800262452567503e-05,2.6343789410469788e-05,10290.17106501858,3829.7253648324454,0.0
2013-01-05 18:00:00,7.457689129191674e-05,5.800290644614723e-05,2.634383249806728e-05,10054.85144460448,3828.3623745395594,0.0
2013-01-05 19:00:00,7.457691664793346e-05,5.800293692814499e-05,2.6343838941428065e-05,9650.718204419096,3835.7930109389354,0.0
2013-01-05 20:00:00,7.457651104287434e-05,5.8002498503325016e-05,2.634377797974484e-05,9221.679453622819,3835.215380808704,0.0
2013-01-05 21:00:00,7.456635726989027e-05,5.7993952415101536e-05,2.634237603960618e-05,8380.72449406532,3834.2149367191655,0.0
2013-01-05 22:00:00,7.456696703633629e-05,5.799432550983441e-05,2.6342453162372847e-05,7093.231919761646,3831.5289567442906,0.0
2013-01-05 23:00:00,7.456790917220901e-05,5.799486381236834e-05,2.6342577324522982e-05,7008.765269761841,3828.964330258428,0.0
2013-01-06 00:00:00,7.456721612552642e-05,5.79944624129836e-05,2.6342649439115427e-05,7011.82717615823,3826.8991366004466,0.0
2013-01-06 01:00:00,7.436682542540823e-05,5.787309341781041e-05,2.6315489359411427e-05,7316.320821158113,3826.957489453602,0.0
2013-01-06 02:00:00,7.414727075551941e-05,5.7740053431180514e-05,2.6283972385988758e-05,7033.515978808825,3825.990277110617,0.0
2013-01-06 03:00:00,7.414228166202455e-05,5.7737133366116056e-05,2.6283884807968625e-05,6651.910645856097,3827.672414579401,0.0
2013-01-06 04:00:00,7.399758808589532e-05,5.764942341288425e-05,2.6260865407337452e-05,6088.097636704022,3831.007861952195,0.0
2013-01-06 05:00:00,7.399497554702429e-05,5.764791693719158e-05,2.6260857136131778e-05,5484.138625807549,3833.7559364807535,0.0
2013-01-06 06:00:00,7.399511590284052e-05,5.7648124235381295e-05,2.626091409744976e-05,4705.413203756285,3833.342811073154,0.0
2013-01-06 07:00:00,7.399196336108306e-05,5.764552403488842e-05,2.626054368728003e-05,4100.034344849762,3835.1004008999757,0.0
2013-01-06 08:00:00,7.399342542194242e-05,5.764623905516431e-05,2.626070169516359e-05,4015.5505814811327,3834.268320085341,5402.1737253279125
2013-01-06 09:00:00,7.399670095988931e-05,5.7648655410989886e-05,2.6261102711040348e-05,4414.381210914918,3833.417740971698,8272.408084329214
2013-01-06 10:00:00,7.399375650510515e-05,5.764624299731229e-05,2.626070917340184e-05,3373.942366194889,3833.2156685624204,8491.108231911938
2013-01-06 11:00:00,7.399393849023563e-05,5.764609404257094e-05,2.6260690696247144e-05,4028.3796941228147,3833.761834429146,7355.073481531893
2013-01-06 12:00:00,7.399781698732656e-05,5.764913551630867e-05,2.62611859012175e-05,5615.046762132624,3835.3761800944726,5914.776645991303
