,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
22,376,382,1295.412675384223,-1731.132064803398,379,6,-435.71938941917506,1295.412675384223,-3026.544740187621,215.90211256403714,-504.4241233646035,0.29972823672831705,0.700271763271683
23,382,403,23243.736073097574,-5768.752794577975,389,21,17474.983278519598,5768.752794577975,29012.48886767555,274.7025140275226,1381.547088936931,0.1658581614364428,0.8341418385635573
24,403,413,15831.689434088687,-7963.420915691977,409,10,7868.26851839671,7963.420915691977,23795.11034978066,796.3420915691977,2379.511034978066,0.2507490302093938,0.7492509697906062
25,413,423,51528.5871389333,-98.40187646785853,414,10,51430.18526246544,98.40187646785853,51626.98901540115,9.840187646785854,5162.698901540115,0.0019023901950507413,0.9980976098049492
26,423,523,985953.2412682776,-7932.992602991912,428,100,978020.2486652858,7932.992602991912,993886.2338712695,79.32992602991912,9938.862338712695,0.007918586900064575,0.9920814130999355
27,523,536,2650.735770783802,-20198.638231326804,533,13,-17547.902460543002,2650.735770783802,-22849.374002110606,203.90275159875398,-1757.6441540085082,0.10394997489781113,0.8960500251021889
28,536,560,2652.253358362532,-35829.939277995,557,24,-33177.685919632466,2652.253358362532,-38482.19263635753,110.51055659843882,-1603.424693181564,0.06447767301164016,0.9355223269883598
29,560,759,1413359.398507065,-102730.03269712134,599,199,1310629.3658099435,102730.03269712134,1516089.4312041863,516.2313200860368,7618.539855297418,0.0634598452686904,0.9365401547313096
30,759,796,116162.09105952486,-37301.451095278666,767,37,78860.63996424619,37301.451095278666,153463.54215480352,1008.1473268994234,4147.663301481176,0.19553614350185602,0.804463856498144
31,796,800,1214.9681434185168,-78.20474837667098,797,4,1136.7633950418458,78.20474837667098,1293.1728917951878,19.551187094167744,323.29322294879694,0.05702641350260785,0.9429735864973922
32,800,882,625946.654726908,-9428.114800580179,803,82,616518.5399263278,9428.114800580179,635374.7695274882,114.97700976317292,7748.472799115709,0.014621700723942888,0.9853782992760571
33,882,893,160.6150899505301,-8379.1661766092,892,11,-8218.55108665867,160.6150899505301,-8539.78126655973,14.601371813684553,-776.3437515054301,0.01846066355705121,0.9815393364429488
34,893,902,24778.074349464725,-2800.965031903743,896,9,21977.109317560982,2800.965031903743,27579.039381368468,311.21833687819367,3064.337709040941,0.09219765059283784,0.9078023494071622
35,902,905,495.9865799083818,-4766.7626160061045,904,3,-4270.776036097723,495.9865799083818,-5262.749195914486,165.3288599694606,-1754.2497319714955,0.08612768482810103,0.9138723151718989
36,905,919,443.48239570217083,-24155.76590864899,917,14,-23712.283512946822,443.48239570217083,-24599.24830435116,31.677313978726488,-1757.0891645965114,0.017709027063139978,0.98229097293686
37,919,925,12258.69394671237,-4717.209150515511,921,6,7541.484796196859,4717.209150515511,16975.90309722788,786.2015250859185,2829.3171828713134,0.21745193113109967,0.7825480688689003
38,925,929,870.0260826172726,-3918.642193823938,928,4,-3048.6161112066657,870.0260826172726,-4788.668276441211,217.50652065431814,-1197.1670691103027,0.15375032249701343,0.8462496775029865
39,929,948,3740.274070340378,-27052.870791161302,946,19,-23312.596720820926,3740.274070340378,-30793.144861501678,196.85653001791462,-1620.6918348158779,0.10830882623358218,0.8916911737664179
40,948,1025,460204.5777573002,-63497.12511097326,968,77,396707.452646327,63497.12511097326,523701.7028682735,824.6379884541982,6801.320816471084,0.10813564688044205,0.8918643531195579
41,1025,1089,123182.38344891372,-73669.01667550032,1060,64,49513.36677341341,73669.01667550032,196851.40012441404,1151.0783855546924,3075.8031269439693,0.272323314990263,0.727676685009737
42,1089,1096,2291.220923797482,-5089.057948303571,1094,7,-2797.8370245060887,2291.220923797482,-7380.278872101053,327.31727482821174,-1054.3255531572934,0.23690440698444074,0.7630955930155593
43,1096,1112,808.7701363927699,-31378.44023491114,1111,16,-30569.67009851837,808.7701363927699,-32187.21037130391,50.54813352454812,-2011.7006482064944,0.024511171480541858,0.9754888285194582
44,1112,1120,1404.3060789054252,-9324.25934103222,1118,8,-7919.953262126795,1404.3060789054252,-10728.565419937646,175.53825986317815,-1341.0706774922057,0.11574391759109397,0.8842560824089061
45,1120,1144,42.26552800960417,-58317.205215539245,1143,24,-58274.93968752964,42.26552800960417,-58359.47074354885,1.7610636670668403,-2431.6446143145354,0.0007237032784963176,0.9992762967215036
46,1144,1161,85.22359342456366,-39026.39711669647,1160,17,-38941.17352327191,85.22359342456366,-39111.62071012103,5.013152554386098,-2300.68357118359,0.0021742462930071814,0.9978257537069929
47,1161,1167,3220.122259833781,-1734.7863831175619,1164,6,1485.335876716219,1734.7863831175619,4954.908642951343,289.13106385292696,825.8181071585572,0.25932219276922436,0.7406778072307756
48,1167,1193,154356.28827883877,-4147.155799253367,1172,26,150209.1324795854,4147.155799253367,158503.44407809214,159.50599227897567,6096.286310695852,0.025497328644227126,0.9745026713557728
49,1193,1206,25650.734381536815,-5735.926675714798,1199,13,19914.807705822015,5735.926675714798,31386.661057251615,441.2251289011383,2414.3585428655088,0.15451311522178865,0.8454868847782113
50,1206,1246,143424.758505007,-256.52129039777174,1207,40,143168.23721460922,256.52129039777174,143681.27979540476,6.413032259944293,3592.031994885119,0.0017821676339550112,0.998217832366045
51,1246,1340,793417.4245425677,-5652.381455313085,1252,94,787765.0430872546,5652.381455313085,799069.8059978808,60.13171760971367,8500.742616998732,0.007024015919334711,0.9929759840806653
52,1340,1358,34414.29911041408,-13788.256393440488,1350,18,20626.042716973592,13788.256393440488,48202.55550385457,766.0142440800271,2677.919750214143,0.22242419435132663,0.7775758056486733
53,1358,1362,1410.5210491684502,-710.5006375469347,1360,4,700.0204116215154,710.5006375469347,2121.021686715385,177.62515938673369,530.2554216788462,0.2509253172609322,0.7490746827390677
54,1362,1399,1819.6998857407907,-83783.05536428993,1397,37,-81963.35547854914,1819.6998857407907,-85602.75525003072,49.18107799299435,-2313.58797973056,0.020815016953192454,0.9791849830468076
55,1399,1407,48952.374033024375,-237.0888782033344,1400,8,48715.28515482104,237.0888782033344,49189.46291122771,29.6361097754168,6148.682863903464,0.0047967917975219035,0.9952032082024781
56,1407,1431,146522.83281947105,-7575.339673533161,1413,24,138947.4931459379,7575.339673533161,154098.1724930042,315.6391530638817,6420.757187208509,0.04685578714792762,0.9531442128520724
57,1431,1480,236373.9914475681,-67223.14312740474,1448,49,169150.84832016338,67223.14312740474,303597.13457497285,1371.900880151117,6195.8598892851605,0.1812822738387527,0.8187177261612473
58,1480,1504,58952.7115956511,-76762.59292081057,1496,24,-17809.88132515947,58952.7115956511,-135715.30451646168,2456.362983152129,-5654.80435485257,0.30283717260312126,0.6971628273968786
59,1504,1527,154248.73616277403,-4049.020112237802,1505,23,150199.71605053623,4049.020112237802,158297.75627501184,176.0443527059914,6882.511142391819,0.024940563664655576,0.9750594363353444
60,1527,1675,1057537.8664584793,-164990.9627442514,1556,148,892546.903714228,164990.9627442514,1222528.8292027307,1114.8038023260228,8260.329927045477,0.11891070938363651,0.8810892906163635
61,1675,1693,21136.508717424047,-7837.159940655396,1688,18,13299.348776768651,7837.159940655396,28973.66865807944,435.39777448085533,1609.648258782191,0.21290365468504435,0.7870963453149558
62,1693,1742,922.4007319759803,-186474.0525707715,1739,49,-185551.65183879554,922.4007319759803,-187396.45330274748,18.82450473420368,-3824.4174143417854,0.004898079572032135,0.995101920427968
63,1742,1768,8712.128001648764,-149914.89220016685,1763,26,-141202.7641985181,8712.128001648764,-158627.0202018156,335.08184621726014,-6101.03923853137,0.05206270077971151,0.9479372992202886
64,1768,1897,1006232.0882392477,-34515.76967439669,1775,129,971716.318564851,34515.76967439669,1040747.8579136444,267.5641060030751,8067.812852043755,0.03209982072193787,0.967900179278062
65,1897,1902,500.15459101600754,-2172.567128887291,1901,5,-1672.4125378712833,500.15459101600754,-2672.7217199032984,100.03091820320151,-534.5443439806597,0.15763444332662727,0.8423655566733728
66,1902,1912,73356.62846219268,-1340.3370340113088,1904,10,72016.29142818137,1340.3370340113088,74696.96549620398,134.03370340113088,7469.6965496203975,0.017627361694987707,0.9823726383050123
67,1912,2071,1465652.0120837314,-12341.999801698345,1924,159,1453310.012282033,12341.999801698345,1477994.0118854297,77.62264026225374,9295.559823178803,0.008281353805392275,0.9917186461946077
68,2071,2076,8647.481317090567,-79.98566226298863,2072,5,8567.495654827579,79.98566226298863,8727.466979353556,15.997132452597725,1745.493395870711,0.009081588686045756,0.9909184113139542
69,2076,2083,2359.549680207825,-3505.307020209895,2080,7,-1145.7573400020701,2359.549680207825,-5864.85670041772,337.07852574397504,-837.8366714882458,0.2868960470832618,0.7131039529167382
70,2083,2108,90570.6284751063,-8476.36075995651,2092,25,82094.26771514979,8476.36075995651,99046.98923506282,339.05443039826037,3961.879569402513,0.0788327443327347,0.9211672556672652
71,2108,2153,154728.56086395928,-9936.103696407878,2120,45,144792.45716755142,9936.103696407878,164664.66456036715,220.8023043646195,3659.214768008159,0.05690756000452093,0.9430924399954791
72,2153,2177,87651.94161219915,-47546.71838819707,2166,24,40105.22322400208,47546.71838819707,135198.66000039622,1981.113266174878,5633.277500016509,0.2601801413937419,0.7398198586062581
73,2177,2188,15066.058611603965,-4233.760338016953,2180,11,10832.298273587012,4233.760338016953,19299.818949620916,384.8873034560866,1754.5289954200832,0.17990295000475923,0.8200970499952408
74,2188,2274,593370.4509516701,-309.3613752286783,2190,86,593061.0895764413,309.3613752286783,593679.8123268988,3.5972252933567246,6903.253631708126,0.0005208198885183995,0.9994791801114815
75,2274,2295,59458.91550781428,-38198.61476156818,2288,21,21260.300746246103,38198.61476156818,97657.53026938246,1818.9816553127703,4650.358584256308,0.2811695764874368,0.7188304235125633
76,2295,2320,87986.06261781503,-53398.3273264623,2311,25,34587.73529135273,53398.3273264623,141384.38994427733,2135.933093058492,5655.375597771093,0.27414304551589613,0.7258569544841039
