,0
1,9.0
2,9.0
3,13.0
4,9.0
5,6.0
6,6.0
7,11.0
8,6.0
9,10.0
10,3.0
11,4.0
12,2.0
13,1.0
14,5.0
15,10.0
16,16.0
17,13.0
18,19.0
19,9.0
20,5.0
21,5.0
22,1.0
23,0.0
24,0.0
25,0.0
26,1.0
27,0.0
28,1.0
29,1.0
30,1.0
31,1.0
32,0.0
33,3.0
34,1.0
35,2.0
36,0.0
37,0.0
38,0.0
39,1.0
40,1.0
41,1.0
42,2.0
43,2.0
44,5.0
45,2.0
46,0.0
47,1.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,1.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.0
65,3.0
66,4.0
67,1.0
68,0.0
69,0.0
70,0.0
71,1.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
