Monat,AT0 0
Jänner,-46584784.09588004
Februar,-48281722.41366574
März,-33782753.61884764
April,-28500981.579686113
Mai,-26459435.928110357
Juni,-20706789.278060522
Juli,-46923735.10150715
August,-38312153.758991905
September,-39535155.56250217
Oktober,-26459708.47895888
November,-42340265.73048975
Dezember,-23247238.641636297
